,AProve,irankfinder v1.3.2,Ultimate Automizer,muval_dt_eager_nu_parallel_from_c,muval_dt_lazy_parallel_thr_from_c,AProve result,irankfinder v1.3.2 result,Ultimate Automizer result,muval_dt_eager_nu_parallel_from_c result,muval_dt_lazy_parallel_thr_from_c result
C_Integer/Stroeder_15/NO_01.c,8.709499836,4.139918804,6.519024134,2.699699163,2.667240143,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/NO_02.c,11.3916862,2.349775076,5.632856131,0.5724930763,0.5642900467,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/NO_03.c,2.844873905,4.077825069,5.812931061,0.8589379787,0.8766469955,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/NO_04.c,4.684491873,10.77708912,8.17379117,31.93644595,31.75859189,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/NO_10.c,3.187669992,2.148106813,6.308507919,0.5628459454,0.5421090126,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/NO_12.c,3.767296076,35.82287002,8.415745974,1.007385015,1.140332937,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/NO_13.c,3.456465006,79.37762403,52.12862396,2.003200054,1.882953167,NO,MAYBE,NO,NO,NO
C_Integer/Stroeder_15/NO_21.c,2.393853188,1.789856911,5.375872135,0.5592520237,1.707721949,NO,NO,NO,MAYBE,MAYBE
C_Integer/Stroeder_15/NO_22.c,3.742460966,52.66949511,49.16000009,1.379189014,1.28549099,NO,MAYBE,NO,NO,NO
C_Integer/Stroeder_15/NO_23.c,2.790081024,17.09952879,9.45331192,0.8476419449,0.8520491123,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/NO_24.c,3.441673994,33.71052098,10.76634097,0.5783631802,0.5744211674,NO,MAYBE,MAYBE,NO,NO
C_Integer/Stroeder_15/Nyala-2lex_true-termination.c,2.156361103,3.763920069,7.832623959,0.9031977654,0.8766229153,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Overflow.c,1.972855091,1.970020056,6.27985096,0.8569860458,0.6600048542,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Parallel_true-termination.c,2.700798035,8.117554903,5.247255087,0.886248827,0.8685700893,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/PastaA1.c,2.327860117,3.106798172,5.535577059,1.480302095,1.271739006,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/PastaA10.c,5.797621965,12.49904799,8.715060949,1.438210964,1.450558901,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaA4.c,2.19231081,2.285717964,6.66847086,0.9030518532,0.8850409985,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaA5.c,1.799619913,2.32509613,6.330884933,0.8445351124,0.8994078636,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaA6.c,2.023575068,3.110553026,9.080104828,1.695214033,1.581599951,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaA7.c,2.076616049,3.139692783,6.434710979,0.8797700405,0.9544398785,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaA8.c,2.043323994,2.599256992,6.529441118,0.7176301479,0.7068948746,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaA9.c,9.630883932,2.714684963,7.575814962,0.855298996,0.8467509747,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaB1.c,1.85699296,2.274688005,6.785351992,0.701939106,0.7178089619,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaB11.c,2.99925518,5.783743143,7.631294012,1.040506125,1.053606987,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaB14.c,2.322067976,4.177103043,6.036178112,0.8622860909,0.8820309639,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/PastaB15.c,2.202087879,4.64349699,5.630887032,1.234961987,1.083563089,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/PastaB16.c,2.088021994,3.934760809,7.768326998,1.168701172,1.147001982,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaB17.c,2.195698023,4.801817894,7.752748013,2.610780954,2.598223925,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaB2.c,2.120046854,2.576550007,6.467581987,0.8722758293,0.8842029572,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaB3.c,3.412143946,2.427650929,6.883240938,1.01986599,0.8802859783,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaB4.c,1.959769011,2.107522964,11.69627213,0.8577511311,0.8755640984,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaB6.c,2.060692072,2.78926301,6.358226061,0.5728049278,0.7126998901,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaB7.c,2.101223946,3.155876875,6.81276989,0.8771378994,0.8939900398,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaC1.c,3.541233778,3.621464014,7.744240046,1.174552917,1.168278933,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaC10.c,11.06743789,89.61530495,5.591803074,2.012334824,1.997400045,NO,MAYBE,NO,NO,NO
C_Integer/Stroeder_15/PastaC2.c,2.260647774,4.426854134,5.636756897,1.191513062,1.13915205,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/PastaC3.c,2.358530045,3.959611177,8.52951479,1.448472023,1.832611799,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaC7.c,2.077199936,3.254621983,18.9813292,1.304194927,1.188678026,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PastaC9.c,2.932319164,9.23387599,8.17495513,0.9955730438,1.018031836,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Piecewise_true-termination.c,13.23228598,52.50219798,5.755419016,33.24557209,4.648932934,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/PlusSwap.c,1.99715209,3.072133064,9.538455009,2.157744884,3.492651939,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PodelskiRybalchenko-LICS2004-Fig1_true-termination.c,3.485985994,3.448359013,8.045717955,1.557198048,1.462085009,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PodelskiRybalchenko-LICS2004-Fig2-TACAS2011-Fig3_true-termination.c,22.61966896,34.35233998,301.065017,301.0693979,301.079092,YES,YES,TIMEOUT,MAYBE,MAYBE
C_Integer/Stroeder_15/PodelskiRybalchenko-TACAS2011-Fig1_true-termination.c,1.962677956,1.928569078,13.32561398,0.5744278431,0.5842859745,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PodelskiRybalchenko-TACAS2011-Fig2_true-termination.c,2.18275094,3.524374008,7.562357903,1.868595839,1.810950041,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PodelskiRybalchenko-TACAS2011-Fig4_true-termination.c,2.294616938,14.059376,7.674216032,1.028367043,1.003232956,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c,2.328511,6.586257935,55.93397808,1.439328909,1.474349976,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/PodelskiRybalchenko-VMCAI2004-Ex2_true-termination.c,2.133625984,27.41933894,13.40809107,7.085860014,2.14548111,YES,MAYBE,MAYBE,YES,YES
C_Integer/Stroeder_15/Pure2Phase_true-termination.c,2.191524982,5.700911999,11.43344402,1.167715788,1.151386023,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Pure3Phase_true-termination.c,11.10100102,299.0683031,301.0480518,1.727541924,2.162822008,YES,MAYBE,TIMEOUT,YES,YES
C_Integer/Stroeder_15/Rotation180_false-termination.c,7.554432154,2.186753988,5.537685871,0.433868885,0.3022911549,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Sequence.c,1.996582985,2.223339081,7.127511024,1.032064915,1.02502799,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Stockholm_true-termination.c,3.305179119,3.086256981,9.642039061,0.7117519379,0.7255117893,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Sunset.c,10.5123632,138.0589201,10.50954103,17.32169914,11.30811095,NO,MAYBE,NO,NO,NO
C_Integer/Stroeder_15/svcomp_a.01.c,2.291016102,4.433795929,5.775990009,3.172408104,3.136258125,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/svcomp_a.04.c,2.07454896,2.537733078,6.579502821,1.292724133,1.281003952,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_a.05.c,2.016687155,2.672945976,6.765926123,1.313432932,1.299986124,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_a.06.c,2.075196028,3.479732037,9.237553835,6.113073111,5.485886097,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_a.07.c,2.082576036,3.436684132,7.182770967,1.496149063,1.474750042,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_a.08.c,2.004153013,3.13411808,6.568357944,1.446195126,1.453185081,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_a.09_assume.c,1.994716883,2.634716034,6.820689917,0.6995220184,0.6963160038,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_a.10.c,2.142579079,18.37151599,8.456332922,9.428199053,5.331923962,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.01.c,1.944466829,2.514433146,12.81364799,1.311044931,1.466810942,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.02.c,2.581828833,2.809484959,6.361930132,1.151281118,1.137751102,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.03-no-inv_assume.c,3.546491861,2.371608973,6.859519959,1.025854826,1.281463146,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.03_assume.c,3.063216209,2.508697987,6.519844055,0.7143480778,0.7009499073,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.04.c,1.93353796,2.358566999,10.933532,0.8534960747,0.8042957783,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.05.c,1.956502914,3.950683117,6.481241941,0.6018121243,0.5736629963,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.06.c,1.923239946,3.193994045,6.284539938,0.7241230011,0.7368588448,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.07.c,2.462379932,3.399111986,7.128808975,2.17188096,1.871068954,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.09-no-inv_assume.c,2.627831936,35.18235111,8.786314964,19.68175888,9.694535017,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.09_assume.c,2.388921976,3.888444901,6.821900845,0.8720769882,0.8863790035,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.10.c,2.323662996,6.330203056,7.781280041,1.192121983,1.042570829,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.11.c,2.587261915,8.0072999,8.007659197,1.890855789,1.888809919,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.12.c,3.03715992,19.63147306,7.582788944,1.177434921,1.134325981,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.13.c,3.296389103,26.79170108,8.651986122,9.935468197,6.909178972,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.14.c,2.367116928,5.083142996,5.876525164,1.125301123,1.138929129,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/svcomp_b.15.c,2.066143036,5.538432121,5.574892998,3.291521072,3.296777964,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/svcomp_b.16.c,2.430602074,5.50135994,7.810022116,1.108345032,1.087719917,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.17.c,2.290430069,6.401849031,7.99623394,12.92976809,4.225377083,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_b.18.c,2.969616175,6.641177893,5.458614111,68.58069205,301.0564971,YES,YES,MAYBE,YES,MAYBE
C_Integer/Stroeder_15/svcomp_c.01-no-inv.c,3.55616188,39.13208699,7.540596008,301.073096,301.093225,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/svcomp_c.01_assume.c,3.214839935,5.879848003,5.626070976,1.161708117,1.017352104,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/svcomp_c.02.c,2.309628963,6.824347973,7.261655092,3.237069845,3.024623156,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_c.03.c,2.428612947,4.614215136,9.352367878,9.783630133,9.648633957,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_c.07.c,2.187320948,4.236038208,18.40659881,20.06232286,301.0746601,YES,YES,YES,YES,MAYBE
C_Integer/Stroeder_15/svcomp_c.08.c,2.43185997,4.649025917,8.640682936,2.416122913,2.279261827,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_easySum.c,1.8550632,2.479460001,6.67478919,1.502129078,1.447339058,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_ex1.c,1.838289022,2.439363956,6.881989002,0.7316148281,0.7351198196,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_ex2.c,9.590615988,299.069042,20.75995708,13.49286914,18.39748216,YES,MAYBE,MAYBE,YES,YES
C_Integer/Stroeder_15/svcomp_ex3a.c,2.05794096,28.9201901,34.57704616,237.8726571,227.3851759,YES,MAYBE,MAYBE,YES,YES
C_Integer/Stroeder_15/svcomp_ex3b.c,2.066644907,34.15628982,18.16384602,0.8538119793,0.8779420853,YES,MAYBE,MAYBE,YES,YES
C_Integer/Stroeder_15/svcomp_fermat.c,4.129788876,164.0856559,94.09744406,301.058517,301.0714231,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/svcomp_flag.c,2.520368099,8.465764999,7.121580124,44.10494494,22.94028592,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_java_AG313.c,7.500928879,3.177922964,7.401650906,0.7094800472,0.7307760715,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_java_Break.c,1.904867888,1.879554033,6.425286055,2.315598011,2.332199812,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_java_Continue1.c,2.149343967,2.103007793,6.419131041,5.20585084,5.349664927,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/svcomp_java_Nested.c,2.410587072,3.306869984,5.61944294,301.05213,301.0788851,YES,YES,MAYBE,MAYBE,MAYBE
C_Integer/Stroeder_15/svcomp_java_Sequence.c,2.145548821,2.882570028,7.244771957,80.53895402,78.43334293,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Swingers.c,9.276750088,22.46224999,21.2109859,0.7050459385,0.7168571949,NO,MAYBE,MAYBE,NO,NO
C_Integer/Stroeder_15/TelAviv-Amir-Minimum_true-termination.c,301.042676,33.93384504,12.39541292,21.1759901,301.0756381,TIMEOUT,MAYBE,YES,YES,MAYBE
C_Integer/Stroeder_15/Thun_true-termination.c,2.398528099,2.852085829,6.711080074,0.8853218555,0.8909070492,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/Toulouse-BranchesToLoop_true-termination.c,5.388110876,29.57879901,9.660919189,301.0630109,301.0194161,YES,YES,YES,MAYBE,MAYBE
C_Integer/Stroeder_15/Toulouse-MultiBranchesToLoop_true-termination.c,6.245803118,152.0010941,5.740092993,301.060822,301.0657001,YES,YES,MAYBE,MAYBE,MAYBE
C_Integer/Stroeder_15/TrueDiv.c,7.865316153,2.250987053,6.268733025,0.4426131248,0.2989869118,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/TwoFloatInterv.c,4.097306967,14.30295491,5.881067038,1.168541908,1.132335901,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/UpAndDown.c,142.7041039,299.062114,5.674345016,5.200484037,32.35971308,NO,MAYBE,MAYBE,NO,NO
C_Integer/Stroeder_15/UpAndDownIneq.c,28.02754307,299.051481,61.29599881,9.020370007,33.34787107,NO,MAYBE,NO,NO,NO
C_Integer/Stroeder_15/Urban-WST2013-Fig1_false-termination.c,3.011430025,3.176882982,6.815736055,0.7609980106,0.5524611473,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/Urban-WST2013-Fig2-modified1000_true-termination.c,2.26465106,3.721725941,5.799054861,1.84723711,1.805538177,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/Urban-WST2013-Fig2_true-termination.c,2.407815933,3.718214035,5.566557884,2.857312918,2.843631983,YES,YES,MAYBE,YES,YES
C_Integer/Stroeder_15/UrbanMine-ESOP2014-Fig3_true-termination.c,31.09372497,246.1876459,5.527402878,64.89834714,301.04357,YES,YES,MAYBE,YES,MAYBE
C_Integer/Stroeder_15/Velroyen_false-termination.c,3.478478909,8.750167847,11.64757705,1.003046036,0.9967420101,NO,NO,MAYBE,NO,NO
C_Integer/Stroeder_15/Waldkirch_true-termination.c,1.844515085,1.517934084,8.164156914,0.549890995,0.5936779976,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/WhileDecr.c,2.414635181,1.986212015,6.417682886,0.507789135,0.5081889629,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/WhileFalse_true-termination.c,1.83697319,0.8291311264,5.184313059,0.2896118164,0.1616258621,YES,YES,YES,YES,YES
C_Integer/Stroeder_15/WhileIncr.c,2.49772501,2.328638077,6.091414213,1.085952997,0.6763520241,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/WhileIncrPart.c,3.150240898,3.331274986,7.573563814,2.424457073,2.270994902,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/WhileNested.c,3.213973999,3.827911854,7.380154848,2.208245039,3.170829058,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/WhileNestedOffset.c,3.534142971,3.954128027,7.348618031,2.348137856,301.0514898,NO,NO,NO,NO,MAYBE
C_Integer/Stroeder_15/WhilePart.c,2.956409931,3.133357048,5.45853281,0.7038168907,0.5944950581,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/WhileSingle.c,2.842347145,3.907405138,7.514236927,0.5801460743,0.5832750797,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/WhileTrue.c,2.651906013,1.667101145,7.249019861,0.4064559937,0.2817008495,NO,NO,NO,NO,NO
C_Integer/Stroeder_15/WhileTrue_false-termination.c,2.730787039,1.111028194,11.63422799,0.2896900177,0.2925858498,NO,NO,NO,NO,NO